reconstruction_error,true_class
0.0051900367155365825,0
0.028984485406067868,0
0.056233668179228896,0
0.0049692334818279985,1
0.24505969392013283,0
0.000340656943629714,0
0.03957476417258676,0
0.023251557782092126,0
0.00496923315768463,1
0.0005011560092247446,1
0.3568752186769324,0
0.38259458900365,0
0.09483420276730078,0
0.004904365986584815,0
0.026571187177255616,0
0.22448095999402612,0
0.010023276956173992,0
0.07922944616873823,0
0.03120778018224101,0
0.2432442202703671,0
0.033808261442290925,0
0.3699367452895178,0
0.0004037915458711201,0
0.02280799234447592,0
0.009316736074996135,0
0.004835097853607197,0
0.0008621108128453889,0
0.002166698710830057,0
0.00024794375630767104,1
0.03067725765525935,0
0.010753706171758675,0
0.012687104572069877,0
0.000955050000988131,1
0.005153052892589794,1
0.01298672517883095,0
0.00038451591563783035,1
0.03155523513793648,0
0.011247905249428463,0
0.06332290425778093,0
0.11268002370612576,0
0.00031589791024918125,1
0.0008594276159872337,0
0.012986782659747103,0
0.0009032131033620559,1
0.04645007828530731,0
0.13669457897597703,0
0.09733704753460072,0
0.004904364574821779,0
0.05882804931786595,0
0.38228458243436203,0
0.01298672517883095,0
0.01739162719956285,0
0.10849831975621545,0
0.00028196107241126856,0
0.0023035073074892005,1
0.23042139786872579,0
0.012986729984988893,0
0.012986729984988893,0
0.004438516531233165,0
0.011169371277673711,1
0.004874880626173244,0
0.010836733813552313,0
0.0008594276159872337,0
0.00017219566777789926,1
0.05066665884717563,1
0.05138481634379197,0
0.004969235810452491,1
0.3568752186769324,0
0.015734698765685083,0
0.00026947783855320366,0
0.009650290244107523,0
0.00779699701977542,0
0.012986729984988893,0
0.0009005696674865404,1
0.014602090715420764,0
0.14704796817498492,0
0.25420104844719854,0
0.08479908135902813,0
0.0941240112354988,0
0.01298672517883095,0
0.013209599911763945,0
0.039019488721616584,1
0.0009860362720103904,0
0.0008621108128453889,0
0.000851011327876685,1
0.004969231651610736,1
0.0005423748435613467,0
0.2353314977265234,0
0.007863136766944024,0
0.3571561864724464,0
0.22181949694301575,0
0.01934949237179103,0
0.022151116826154123,0
0.01540896987153603,0
0.08633544803332192,0
0.0004946604689977332,1
0.017137675516460203,0
0.0008069953816643047,0
0.07643871382904707,0
0.007456324099581786,1
0.38259458900365,0
0.026801604619642913,0
0.004586135188351762,0
0.0010230126757596893,0
0.0371270452445966,0
0.2320664132395915,0
0.06169739107273032,0
0.004969237578727236,0
0.0003361047855055249,1
0.013210485120390884,0
0.07586792007671163,0
0.22137598075719075,0
0.02310030924333142,0
0.027785357048076314,0
0.03076698919744918,0
0.020650617025574625,0
0.012871629154184737,0
0.12104700314538801,0
0.016573277292515523,0
0.13205975629439315,0
0.0008568441490651819,1
0.0064838501765716065,0
0.013136825720867306,0
0.006330261620731712,0
0.01298672517883095,0
0.00531704267542498,0
0.000955050000988131,1
0.21283329023000555,0
0.3853022814809004,0
0.0011888673910081817,0
0.010230664131367438,0
0.025587562428752455,0
0.0001724379792450326,1
0.10009806958613304,0
0.013194102020733824,0
0.015583789002063397,0
0.004904364984418113,0
0.005321855403228267,0
0.000747565397535669,0
0.20620883684796829,0
0.0011583583751950313,0
0.013003215739413725,0
0.06426358839377318,0
0.14758216021595746,0
0.08233742711268865,1
0.00016759971172317816,1
0.00024652075120814416,0
0.0004904781235185922,0
0.35964673427243626,0
0.22449724899399986,0
0.013117238558329804,0
0.013184323307693688,0
0.007206707251960473,0
0.07081602857227606,0
0.0002025994021126786,0
0.0008568336246431164,1
0.00934340827758221,0
0.14561139014212318,0
0.013003216826536958,0
0.012927234511068874,0
0.012807694389453436,0
0.38242019709870795,0
0.02609697768338615,0
0.014897137232006823,0
0.0049692386589914326,1
0.35181803456014415,1
0.055253334927355666,0
0.0009032129689536055,1
0.01298672517883095,0
0.23251501614260806,0
0.22419063388557492,0
0.0013487222767815795,0
0.05843787132118927,0
0.010798759163518662,0
