reconstruction_error,true_class,predict_softmax,prob
0.02661585362287784,0,0,0.99992895
0.02791664282132134,0,0,0.9999293
0.00036700723463732685,1,1,0.99953806
0.010789464099704892,0,1,0.9403043
0.015892388841442232,0,1,0.9530626
0.0008593672153730241,1,1,0.9994875
0.06378291773061139,1,1,0.99726355
0.007733918942817452,0,1,0.99989367
0.000856831419931858,1,1,0.9999379
0.0009477422003806534,0,1,0.99946827
0.0054957869450656584,0,1,0.99772793
0.00016919260762666424,1,1,0.99994326
0.026276645548824272,0,0,0.9999298
0.03387951110968614,0,0,0.9998653
0.005818545343711783,1,0,0.53846455
0.0008568329117149265,1,1,0.99991703
0.0008568294410814426,1,1,0.9999379
0.0008568289981675668,1,1,0.9999316
0.0049692379336821555,1,1,0.999537
0.02421159941210695,0,0,0.99992895
0.06869500292116966,0,0,0.9999286
0.050290502019161645,0,0,0.99974805
0.0008568280399075444,1,1,0.99993336
0.0008568288985239956,1,1,0.9999329
0.08330044671705343,0,0,0.99993575
0.07392844351940672,0,0,0.99993455
0.0008568443818342243,1,1,0.9998548
0.0008568311750132744,1,1,0.99993813
0.012320887458676313,0,0,0.90486443
0.004969234751174343,1,1,0.99953604
0.012529152289477805,0,0,0.9998005
0.00017032018354101914,1,1,0.9999399
0.0009473075739147977,1,1,0.99909854
0.044973985330807716,1,0,0.9998921
0.38501038946425403,0,0,0.9999087
0.23491240611075972,0,0,0.9991572
0.000856913762193952,1,1,0.99955887
0.001008839499803578,0,1,0.9994636
0.0009032124580785135,1,1,0.9999517
0.00017765929995111032,1,1,0.9997745
0.046993741259503875,0,0,0.9999083
0.0008568359265107992,1,1,0.9998965
0.0008885477211676111,1,1,0.9999244
0.0008568323083434127,1,1,0.99992156
0.11123770242854633,0,0,0.9999311
0.0008568297837595162,1,1,0.9999229
0.12468905549549615,0,0,0.99993455
0.0005772121256630465,0,0,0.9996106
0.022648410515030647,0,0,0.9998853
0.0049692358279863945,1,1,0.9995369
0.0006634418615570072,1,1,0.999879
0.00027842763963193025,1,1,0.9999167
0.07451115631645801,0,0,0.9999329
0.02526303606813372,0,0,0.99993026
0.0016785044500823916,0,1,0.78035414
0.000856829800489374,1,1,0.99993825
0.03986693347312521,0,0,0.9997328
0.005784143964875211,0,1,0.78717273
0.012017981533490547,0,1,0.9995266
0.000856830258072774,1,1,0.99993837
0.015394260099340206,0,1,0.9999405
0.0015437896970512258,0,0,0.7516057
0.002459290790501426,1,1,0.99976236
0.0008568617536502636,1,1,0.9997557
0.3650500649271152,0,0,0.99955505
0.0008568293855077929,1,1,0.9999379
0.20805033131316217,0,0,0.9999033
0.02541108691664451,0,0,0.9999293
0.031335139763625584,0,0,0.99987817
0.0008568288852823798,1,1,0.999938
0.02610594401800935,0,0,0.9999293
0.0003079952259963887,1,1,0.9999503
0.0008568306010664352,1,1,0.999938
0.0007563958267200911,1,1,0.9999324
0.07763024169069466,0,0,0.9999316
0.0008568306876856201,1,1,0.9999386
0.0008568331225116587,1,1,0.99991596
0.005456537702973806,0,1,0.9705537
0.0008568294433007606,1,1,0.99993515
0.0008568325193636546,1,1,0.99993837
0.025795135628498788,0,0,0.999928
0.025858093816746218,0,0,0.99992967
0.012334182468479098,0,0,0.9055554
0.0006633624923519901,1,1,0.9999342
0.0008568295237269868,1,1,0.99993646
0.0008568308211729097,1,1,0.99993587
0.02929786678529942,0,0,0.75041074
0.23117980871795676,0,0,0.99888104
0.0008568816225695699,1,1,0.99966574
0.00035070935784651635,1,1,0.9944372
0.000856830417699992,1,1,0.99993646
0.0008568298403225504,1,1,0.9999261
0.02698029634598945,0,0,0.9999292
0.014665532333238345,0,1,0.99709606
0.015379475990627337,0,1,0.9999354
0.00018186158435468436,1,1,0.9993414
0.0008568344822046563,1,1,0.99990475
0.0008149181326255799,1,1,0.9999516
0.24440172468741114,0,0,0.9999325
0.14896225503716953,0,0,0.999936
0.39681437211296805,0,0,0.9997975
0.004542487059840258,0,1,0.9722899
0.025858093816746218,0,0,0.99992967
0.022733704654307678,0,0,0.9999281
0.0005336303029316363,1,1,0.9999461
0.025040294716969818,0,0,0.9999293
0.004391301334602936,0,1,0.92009616
0.00010901673838637398,1,1,0.99992144
0.02590438205196399,0,0,0.999928
0.0008568291028607887,1,1,0.9999373
0.0005686925957410242,1,1,0.94988865
0.024575262498525263,0,0,0.9999298
0.005513053570584949,0,1,0.9741678
0.005265377955650249,0,1,0.9644393
0.0008568301398039591,1,1,0.99993896
0.04502329098147548,0,0,0.99991035
0.0008568314176807592,1,1,0.99993825
0.012933547262343815,0,0,0.9994517
0.08561617336438283,0,0,0.9999347
0.004904366132855974,0,1,0.9995022
0.0008568317949568725,1,1,0.9999385
0.013184323307693688,0,0,0.99966645
0.24403721211168838,0,0,0.9999325
0.027058994334838715,0,0,0.99992883
0.001853199343255533,1,1,0.9966049
0.0009056538279813424,1,1,0.9999517
0.007797002700685627,0,1,0.99989796
0.026602917671004797,0,0,0.99993
0.0008568298411287135,1,1,0.9999378
0.00022694670995701362,1,1,0.99995196
0.0009550484203278241,1,1,0.9999517
0.0008568394632097361,1,1,0.9998758
0.026902339432698562,0,1,0.9871229
0.0008568319490135631,1,1,0.9999131
0.023085231688048415,0,1,0.999783
0.0008568321651112406,1,1,0.99993837
0.025450345607682542,0,0,0.99992895
0.004904365915223452,0,1,0.99950314
0.10093926098560765,0,0,0.9991229
0.0008568301131278774,1,1,0.99993896
0.000805684865286072,1,1,0.99992955
0.0007686913925589955,1,1,0.9999517
0.026973099659990053,0,0,0.99992836
0.02570744652240132,0,0,0.99992967
0.012871629154184737,0,0,0.99981755
0.010839551817211933,0,1,0.8854222
0.0225599461553554,0,0,0.9998907
0.02679055268450132,0,0,0.9999291
0.0008568625801840392,1,1,0.9997551
0.024217054545516998,0,1,0.9997849
0.01690970991924908,0,1,0.99955827
0.04741762665706169,0,0,0.9999095
0.18585271479175064,0,0,0.9920561
0.00036559334971360963,0,1,0.99994767
0.0008568295335186192,1,1,0.9999379
0.026585145559893365,0,0,0.99992955
0.09923184723197905,0,0,0.9979492
0.10920333530192954,0,0,0.99993074
0.11623808384546906,0,0,0.9999343
0.04658184563990906,0,0,0.99990964
0.02772037442205277,0,0,0.9999292
0.12002565136127472,0,0,0.9999343
0.3823473147519033,0,0,0.99960023
0.03838513880920388,0,0,0.99992216
0.007569762434474472,0,0,0.84040725
0.057088256492942524,0,0,0.9998293
0.04766950956693796,0,0,0.9999095
0.001310130314004433,0,1,0.9468843
0.0008568609446336418,1,1,0.9997584
0.04235120766377725,0,0,0.99991155
0.019778711335600493,0,1,0.9994137
0.000859707025716196,1,1,0.99791247
0.026497417189126987,0,0,0.9999292
0.026279952785371277,0,0,0.9999287
0.012871284350481982,0,0,0.9998222
0.0008568303378868172,1,1,0.9999372
0.3850777974868687,0,0,0.9999095
0.3823473147519033,0,0,0.99960023
0.005631113863887486,0,1,0.9968861
0.00028178936362372196,1,1,0.9999434
0.012986785924062548,0,0,0.9993882
0.000955050000988131,1,1,0.9999517
0.0008568949608779419,1,1,0.9996113
0.0008568299526464434,1,1,0.9999387
0.0009032137866545476,1,1,0.9999517
0.015534320543532126,0,1,0.99994206
0.02791664282132134,0,0,0.9999293
0.061866574743367375,0,0,0.9999361
0.000905653677139578,1,1,0.9999517
0.025181957943640004,0,0,0.99992836
0.0008568327109612617,1,1,0.9999355
0.019282580455600478,0,1,0.99939287
0.031040830551923682,0,0,0.99770665
0.00031810112049121124,1,1,0.9999323
0.0008568314963290052,1,1,0.9999198
0.00027317199418481434,1,1,0.9999517
0.007113457131104887,1,1,0.9003323
0.01026487261787324,0,1,0.5912615
0.06448925860214304,0,0,0.9999174
0.005079564003356182,0,1,0.9952005
0.015665954477947365,0,1,0.9961916
0.00012573483345080516,1,1,0.99992955
0.009371306446210797,0,0,0.99259937
0.0008568417668421608,1,1,0.9998622
0.0005739871162177788,1,1,0.99993956
0.38228458243436203,0,0,0.9995939
0.08330337810334973,0,0,0.99993515
0.035880054543061576,0,1,0.99442625
0.0008568310441713482,1,1,0.99993515
0.0008568299586687564,1,1,0.9999386
0.01297440418818569,0,0,0.999821
0.0012581246224694278,0,0,0.8505093
0.0008568337389609607,1,1,0.9999131
0.0008105937342656462,1,1,0.99987924
