reconstruction_error,true_class,predict_softmax
0.00015881172746009715,1,1
0.03990710395301131,1,1
0.04560634913654334,0,0
0.0008885941414020086,1,1
0.0008568293570384085,1,1
0.02489519728531028,0,0
0.04713440034930715,0,0
0.04543679183281475,0,0
0.06272931763251671,0,0
0.04680272897876817,0,0
0.02612870432086767,0,0
0.047709660438913816,0,0
0.00011302456974271929,1,1
0.0010703531923207008,0,0
0.1171226631903524,0,0
0.1257825941865826,0,0
0.0008569298639916818,1,1
0.010791721817829576,0,0
0.0008568294278225547,1,1
0.000856830565592971,1,1
0.13769632812592372,0,0
0.047564623686427075,0,0
0.0008569000028136828,1,1
0.10596240532441202,1,1
0.13645790025592386,0,0
0.0037840909541207116,1,1
0.04746298184152903,0,0
0.0008568431475152557,1,1
0.0008568804054590219,1,1
0.0008568279870521048,1,1
0.010773127061579848,0,0
0.04066022460518403,0,0
0.0008568308635835362,1,1
0.2142209522106368,0,0
0.0006503588951482423,1,1
0.009267117351182113,1,0
0.0009550498428436352,1,1
0.14037598865696968,0,0
0.0008568307725059274,1,1
0.1096542051420144,0,0
0.02738552477759385,0,0
0.09723777524832018,0,0
0.00033343232832180197,1,1
0.07100534235885203,1,1
0.0008568302728479774,1,1
0.09501869455338635,0,0
0.009142704225849129,0,0
0.000856828937121872,1,1
0.0009450772091433799,0,0
0.03177887324636855,0,0
0.0008568309484597816,1,1
0.021903794698512332,0,0
0.010378085550105753,0,0
0.0008568284387409567,1,1
0.00042568812461089964,1,1
0.00017370029282834485,1,1
0.010746626592136625,0,0
0.112821951470904,0,0
0.03798086021514291,0,0
0.0009550498428436352,1,1
0.00018094234218771823,1,1
0.02731855831913886,0,0
0.3188272384079102,0,0
0.0008568302733154056,1,1
0.02288548821603277,0,0
0.00017401590496715806,1,1
0.0966450629732975,0,0
0.02814191950924733,0,0
0.06691222847554609,0,0
0.13740652111145238,0,0
0.0003002790374755337,1,1
0.04574083885517433,0,0
0.07389900517367247,1,1
0.0004974501487936321,1,1
0.047527676943966056,0,0
0.00026186627694903947,1,1
0.049827660511520905,0,0
0.000856829434479852,1,1
0.0008568396773337705,1,1
0.026936033238743797,0,0
0.0008568330335080435,1,1
0.08456115464397636,0,0
0.048694496859629705,0,0
0.010846894707161374,0,0
0.0008568314719750512,1,1
0.04764843187154507,0,0
0.0008568310239959186,1,1
0.1208540462746495,0,0
0.026704864508519773,0,0
0.0874661074890602,1,1
0.000856829039901482,1,1
0.0008568312399266061,1,1
0.0009005698240047366,1,1
0.02685747640699376,0,0
0.1018458413400298,0,0
0.00012070438166886528,1,1
0.0009410974876800381,1,0
0.000856829840727339,1,1
0.008057232406478982,1,1
0.04708700830177502,0,0
0.0008568260713231105,1,1
0.0008568316483425925,1,1
0.0006980168003304788,1,1
0.0008568486800431263,1,1
0.009434684807913542,0,0
0.0008568307537494561,1,1
0.0008568274587249135,1,1
0.0008568655932639954,1,1
0.0008568310290909997,1,1
0.0007775778265170387,1,1
0.0006795845104933777,1,1
0.20075672795305555,1,1
0.0010590377052012248,1,1
0.0008568296026313976,1,1
0.0008568322234517116,1,1
0.08613655487217262,0,0
0.06904873502193136,0,0
0.024989753094389396,1,1
0.0008568287534240896,1,1
0.0008568302029500233,1,1
0.08579843600967112,0,0
0.09755675460644662,0,0
0.09892159024308539,0,0
0.000573987780343672,1,1
0.11848979090337727,0,0
0.000902224551865177,1,1
0.0009032136454872434,1,1
0.00024062544836542864,1,1
0.000903211586583758,1,1
0.0022493734237727533,1,1
0.04573456207118631,0,0
0.07042960906628332,0,0
0.0006564201148574427,1,1
0.0008568285243734534,1,1
0.04699472073983065,0,0
0.14421452669311405,0,0
0.0998416686185083,1,1
0.0008568289499976695,1,1
0.01298672517883095,0,0
0.04598341034560475,0,0
0.0008568595723014972,1,1
0.09621338587413783,0,0
0.06649616388430553,0,0
0.0008568298217269702,1,1
0.0003385941765885681,1,1
0.0008568797730031239,1,1
0.2757855419804124,0,0
0.00020581715242372591,1,1
0.0010147974855147723,0,0
0.023009824045644053,0,0
0.04733706157302125,0,0
0.0008568302756866316,1,1
0.06868673009950847,0,0
0.12693853132618943,0,0
0.07965879408612976,0,0
0.0009056544232431332,1,1
0.002109032320640822,1,1
0.07647840286348273,0,0
0.010801393287066842,0,0
0.09984190555914575,0,0
0.0008568597210348235,1,1
0.004348157102753647,1,1
0.0008149172720627023,1,1
0.0007648769191516381,1,1
0.06256446361702614,0,0
0.09543320195735756,0,0
0.0008699054861454582,1,1
0.0008568303904914844,1,1
0.06412502397721243,1,1
0.0008568304478696798,1,1
0.08304994579087874,0,0
0.0003321158995118601,1,1
0.012450609507924251,0,0
0.03906509608272947,0,0
0.04393917942907444,0,0
0.10235953856478239,0,0
0.0003399360811492853,1,1
0.31896571170791543,0,0
0.008916633355003659,0,0
0.09384650470417844,0,0
0.012587687854039189,1,0
0.00024019980306926356,1,1
0.0007790711286772801,1,1
0.00016655606276850182,1,1
0.009154116720903521,0,0
0.023175714051969915,0,0
0.0438357520970347,0,0
0.04694068318549225,0,0
0.00020327413225066057,1,1
0.0008568298022408772,1,1
0.018154508072922102,0,0
0.0008568290297267971,1,1
0.04613614097523803,0,0
0.08247778714494954,0,0
0.0008568278289784632,1,1
0.0002602134598160951,1,1
0.00019487997074275256,1,1
0.00027689716130529845,1,1
0.06295926970072185,0,0
0.0008568284046218421,1,1
0.0008568283292515363,1,1
0.07326250717320051,0,0
0.0008568293710097428,1,1
0.00046733833623691204,1,1
0.000320446895415501,1,1
0.20095775866902035,1,1
0.11050739349856235,0,0
0.0008575859075014187,1,1
0.00028425424551890616,1,1
0.12026876090910904,0,0
0.30436391847276273,0,0
0.012282313419298656,0,0
0.0949887271215855,0,0
0.000856862187063217,1,1
0.07518150400424838,0,0
0.07928214961181224,0,0
0.0008568408157878173,1,1
0.0008568282832665599,1,1
0.0008569165952821874,1,1
0.00035855778106586684,1,1
0.0008885357625950186,1,1
0.11322810418539155,0,0
0.000999592645029715,0,0
0.04046751884313376,0,0
0.010734761829290453,0,0
0.0008885348230555966,1,1
0.0008568303344181086,1,1
0.09851168304466248,0,0
0.00019526442204782307,1,1
0.000655651809489209,1,1
0.0003130004216988346,1,1
0.0008568305933563758,1,1
0.001353799774484412,1,1
0.009152276123114714,0,0
0.00015638912767203865,1,1
0.04052626932990335,0,0
0.04863612014741854,0,0
0.10002962659286488,0,0
0.0008615242249800951,1,1
0.0008568300222741111,1,1
0.0008592367139176018,1,1
0.010753782324168763,0,0
0.06844655187814902,0,0
0.028221376633441278,0,0
0.031425283065378874,0,0
0.0009736420062457355,1,1
0.04343023127846306,0,0
0.010801585149909521,0,0
0.046475880131351836,0,0
0.0008568311490229584,1,1
0.01081322158696162,0,0
0.004519688003625498,1,1
0.0008568291921871417,1,1
0.09543320195735756,0,0
0.2292935009461966,0,0
0.01202627257630761,0,0
0.000856868878483122,1,1
0.000856828926137047,1,1
0.03591505131242756,0,0
0.0008568802792045109,1,1
0.06867850079912376,0,0
0.00035648273005022885,1,1
0.0008568454031062166,1,1
0.11127566612846401,0,0
0.0008568285501728514,1,1
0.0008568294968734298,1,1
0.000856832243212148,1,1
0.00022066929056292867,1,1
0.01079494940461572,0,0
0.10229594599695356,0,0
0.0008568282066908762,1,1
0.02754375844044897,0,0
0.0010590377052012248,1,1
0.0009550470515390086,1,1
0.0008568298542055004,1,1
0.0008568293474159845,1,1
0.06943107844578039,0,0
0.047099960527886016,0,0
0.01294297490985795,1,1
0.0008568295335186192,1,1
0.0008568308552604881,1,1
0.01932800190622554,0,0
0.00035937097427706345,1,1
0.0008568294125054028,1,1
0.11561423947967898,0,0
0.00042568905975732505,1,1
0.12095664771880124,0,0
0.048991218313968715,0,0
0.0008568296476083857,1,1
0.04793332225992971,0,0
0.013918592065015518,1,1
0.045892519274484664,0,0
0.08070918143166747,0,0
0.0008568292371363696,1,1
0.0008568363803325742,1,1
0.0008568297537405143,1,1
0.0008568280868584798,1,1
0.010791145385053862,0,0
0.1136894624406535,1,1
0.046478695288699835,0,0
0.00022825517762849575,1,1
0.06174660852842904,0,0
0.028775313215722503,0,0
0.01209140476486341,0,0
0.0008568315528913973,1,1
0.010805535211242112,0,0
0.010925113399418101,1,1
0.0008568274870727541,1,1
0.028291986996887095,0,0
0.0001703572633913621,1,1
0.11175621638972658,0,0
0.0008568310982264015,1,1
0.14673846192662862,0,0
0.10749702455813522,0,0
0.0008568293585973353,1,1
0.01298672517883095,0,0
0.010847730062550076,0,0
0.2270308237092947,0,0
0.06752856855678482,1,1
0.04777597253676801,0,0
0.0002581605956943822,1,1
0.036584732382935706,0,0
0.04647816177926491,0,0
0.09828929150349361,0,0
0.23272284160473908,1,1
0.0808337562056484,0,0
0.0008568295143862845,1,1
0.000856958679611461,1,1
0.0008568322017551607,1,1
0.0005102271190194014,1,1
0.2476042553713006,0,0
0.07401879363128194,0,0
0.00016759967690172816,1,1
0.0008568297006416207,1,1
0.04644897642151587,0,0
0.0008568314957453965,1,1
0.0003575123938927526,1,1
0.0008568402926472209,1,1
0.033287122536279815,0,0
0.0264071661902284,0,0
0.0008568746099550302,1,1
0.04670778333715311,0,0
0.011776000424380572,1,1
0.0008568280230094459,1,1
0.11452114660855095,0,0
0.008169356549835697,1,1
0.04706337609076784,0,0
0.00041308979117622783,1,1
0.07767424118450472,0,0
0.18349550540538193,0,0
0.23457591598574776,0,0
0.0008568313992886313,1,1
0.14630805313487838,0,0
0.0008568280094341561,1,1
0.3826952076888261,0,0
0.0008568295129376159,1,1
0.03185000300436186,0,0
0.0008568348176365907,1,1
0.08503714665164219,0,0
0.017243748795249956,1,1
0.00078466120748663,1,1
0.0008568307028699044,1,1
0.08022667343578631,0,0
0.0010590377052012248,1,1
0.0008568433192650524,1,1
0.011570236678958581,0,0
0.0006663203184279418,0,0
0.0008568276021859413,1,1
0.024031289864639843,0,0
0.04732248674822769,0,0
0.0008568283647176305,1,1
0.0008568290398998127,1,1
0.0008568410033490496,1,1
0.08332128199653607,0,0
0.0008568321102445336,1,1
0.13235724686065828,0,0
0.011200755056586301,1,0
0.0008568559140902378,1,1
0.0009983558039297462,1,1
0.045771377072816415,0,0
0.0009550498428436352,1,1
0.1330977368175923,0,0
0.000521480294674094,1,1
0.03683397143443801,0,0
0.045984444028086234,0,0
0.0008568277094446093,1,1
0.11544965290464278,0,0
0.0005424268563376416,1,1
0.0008592750405222873,1,1
0.00011459419231062514,1,1
0.0008570013187885996,1,1
0.22009817175536614,1,1
0.12112696449188895,0,0
0.04797558018526229,0,0
0.04615403923827901,0,0
0.04584715480446023,0,0
0.1255694725600297,0,0
0.03967980156243081,0,0
0.010765090095005678,0,0
0.01187202869769809,1,1
0.0008568294117940788,1,1
0.04197776342391119,0,0
0.00019693862765301758,1,1
0.00032611250665229573,1,1
0.010731810252760982,0,0
0.0042374051217192255,1,1
0.0008568277897329814,1,1
0.0009550492362200134,1,1
0.04834294353050088,0,0
0.029595049219742018,0,0
0.0008568367787523452,1,1
0.14603525852463742,0,0
0.0008568294649437355,1,1
0.0008568285316608506,1,1
0.11371455319605936,0,0
0.003649651642187572,1,1
0.0010590377052012248,1,1
0.09677400329512836,0,0
0.04808622503469567,0,0
0.04756536526509539,0,0
0.0008568300685225602,1,1
0.15170094206058893,0,0
0.04680550658713232,0,0
0.008745134550970616,0,0
0.009572967242124964,0,0
0.0008568308496277234,1,1
0.01298672517883095,0,0
0.00018734112617282056,1,1
0.0045373923448298594,1,1
0.18336648011846304,0,0
0.0002275533055878039,1,1
0.013201593828936776,0,0
0.028585860164323768,0,0
0.0008568301853878547,1,1
0.0009550475591520115,1,1
0.0008568319719177204,1,1
0.0008568277220287422,1,1
0.0002456434057384793,1,1
0.0008568298444319206,1,1
0.0008568336393592891,1,1
0.11038741999299796,0,0
0.0008568458939796392,1,1
0.0983891758033298,0,0
0.08327122146340339,0,0
0.0002597502426433773,1,1
0.0008568289616279212,1,1
0.012893027252505422,0,0
0.009135069645983934,0,0
0.04722218805975926,0,0
0.0008568421357209609,1,1
0.0006503579967497599,1,1
0.00464088326786592,1,1
0.04783708561885406,0,0
0.03948489856533565,0,0
0.09753782835274585,0,0
0.00026003808963277275,1,1
0.022693412789343313,0,0
0.0008569669558556645,1,1
0.10088539266394406,0,0
0.04555933519080683,0,0
0.02180753239236371,1,1
0.000856830452523282,1,1
0.03405981118339002,0,0
0.0008568331852863236,1,1
0.0008568314642615717,1,1
0.045225889888878115,0,0
0.00033668185449293683,0,0
0.06695559404940014,0,0
0.0009032109334011603,1,1
0.0002733335244209717,1,1
0.04566707706141709,0,0
0.007859851552893996,1,1
0.026256244334175196,0,0
0.0008571715798091149,1,1
0.07502653702843234,0,0
0.0003580380120464619,1,1
0.0002416263039865221,1,1
0.11334676783633044,0,0
0.010721903355592309,0,0
0.0008568297226193895,1,1
0.026654546968313188,0,0
0.05912276100493904,0,0
0.051071394938001426,0,0
0.0008568288723032695,1,1
0.052916771410725906,0,0
0.0008699833292618404,1,1
0.0008568309454320248,1,1
0.36246613576612013,0,0
0.04823812434509936,0,0
0.0001656196062529499,1,1
0.046109834848958114,0,0
0.0008149205534415099,1,1
0.005375654871094383,1,0
0.01134241567741514,1,1
0.00034525308621556145,1,1
0.10879180461968199,0,0
0.0003541994176043122,1,1
0.00036437613135046075,1,1
0.0008568283588581874,1,1
0.0008568282447861586,1,1
0.000856919046987486,1,1
0.0008569108605200361,1,1
0.04684557616267458,0,0
0.0008568306572445095,1,1
0.000496390851550524,1,1
0.08660839865597283,1,1
0.013572281521410223,0,0
0.010797582891574533,0,0
0.0009032141096074261,1,1
0.39496246711702643,0,0
0.05052930527179851,1,1
0.0008838542978892785,1,1
0.0008568314460440955,1,1
0.000856849219328575,1,1
0.0008568319012214455,1,1
0.20785285623420607,1,1
0.047442685583018715,0,0
0.13823925825489816,0,0
0.0008568511928168369,1,1
0.0008568291579468107,1,1
0.13795325440247216,0,0
0.0008568302508648041,1,1
0.03589952263247342,0,0
0.0008568308093649441,1,1
0.000814917176047804,1,1
0.0015447934454786711,1,1
0.11268894246202409,0,0
0.041716638994572314,1,1
0.12575734822938034,0,0
0.06733542819535765,0,0
0.07534075554906267,0,0
0.034613894450205976,0,0
0.05923103164312796,0,0
0.14992587146775885,1,1
0.0379250679677371,0,0
0.018901115955951158,1,1
0.043106624615467055,0,0
0.20023226050136134,1,1
0.018975699281556926,0,0
0.0008568295654177261,1,1
0.06547545902589293,0,0
0.04655171841861151,0,0
0.0009550489484315132,1,1
0.0008186481236547918,1,1
0.0008592397506910335,1,1
0.0008568299969635554,1,1
0.0008568298289548935,1,1
0.0949295663156933,0,0
0.0003263669590659523,1,1
0.035776325479068276,0,0
0.0011046864861142694,0,0
0.010726174961234335,0,0
0.0008568677578361177,1,1
0.08141410020228651,0,0
0.0010590377052012248,1,1
0.0008582499570403928,1,1
0.18325405693763083,0,0
0.11604823578488199,0,0
0.02616448738356548,0,0
0.04881306798881604,0,0
0.06611989789728928,1,1
0.03792827358176583,0,0
0.000345709664648085,1,1
0.000856831382701067,1,1
0.04720273208656736,0,0
0.044767185576126745,0,0
0.0008568281190636538,1,1
0.012986782659747103,0,0
0.0971488554984384,0,0
0.0008568295899963311,1,1
0.010715687207262911,0,0
0.11728313674145435,0,0
0.10715793159348959,0,0
0.12100912246911318,0,0
0.0005739946128978681,1,1
0.011024753078579095,1,0
0.0003011030813458961,1,1
0.043346241160419054,0,0
0.0008568306340905727,1,1
0.0009032117771916405,1,1
0.0008568289263778097,1,1
0.0038576665548921214,0,0
0.08575543409560614,0,0
0.00016561787224102603,1,1
0.004028995030108198,1,1
0.004248608272281464,1,1
0.011570236678958581,0,0
0.0008568292153825911,1,1
0.000856828812491736,1,1
0.03185547852384093,0,0
0.0008568312229972773,1,1
0.043713937120852336,0,0
0.07683361223207028,0,0
0.19860017883081052,1,1
0.0001737753381945207,1,1
0.031780614362679455,0,0
0.0008134894444945547,1,1
0.04574536889410299,0,0
